gene,role,n_total,n_mutated,n_wildtype,logrank_p,cox_HR,cox_HR_lower95,cox_HR_upper95,cox_p
APC,driver_candidate,413,276,137,0.6755866426052284,1.013940996820378,0.5944598472623336,1.7294294135553523,0.9594690056527002
TP53,driver_candidate,413,215,198,0.10700122609953501,1.2467239695575525,0.7340248635009965,2.117531344722945,0.4145553936253007
KRAS,driver_candidate,413,157,256,0.7167060883634253,0.987952217796933,0.6027618427945398,1.6192955747243265,0.9616529653336668
TTN,size_control,413,217,196,0.022653919054531183,1.372511037408803,0.8404355185978332,2.2414409031068354,0.20575923012979644
