case_id,project_id,disease_id,voc_id,log2_fold_change,target_ppb,healthy_ppb,primary_site,primary_diagnosis,ajcc_pathologic_stage,stage_num,label_origin,study_id,source
real::copd::23522490,copd,copd,butane,0.2896,3.6669040104506814,3.0,lung,COPD,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::copd::23522490,copd,copd,decanal,-0.3424,2.997166888917403,3.8,lung,COPD,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::copd::23522490,copd,copd,dodecane,-0.6262,0.5830925950441173,0.9,lung,COPD,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::copd::23522490,copd,copd,ethanol,-0.1982,104.59648758723355,120.0,lung,COPD,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::copd::23522490,copd,copd,ethyl_acetate,-0.4695,2.5277519924570093,3.5,lung,COPD,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::copd::23522490,copd,copd,ethylbenzene,-0.8811,0.3800673045417028,0.7,lung,COPD,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::copd::23522490,copd,copd,furan,-4.3969,0.03797442434065724,0.8,lung,COPD,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::copd::23522490,copd,copd,hexane,0.252,2.9771421234124205,2.5,lung,COPD,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::copd::23522490,copd,copd,isopropanol,-0.1993,21.774326488850136,25.0,lung,COPD,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::copd::23522490,copd,copd,octane,-0.6516,0.7638887267341467,1.2,lung,COPD,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::copd::23522490,copd,copd,phenol,0.089,3.722714355126146,3.5,lung,COPD,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::copd::23522490,copd,copd,propanol,-0.2816,9.872137582869444,12.0,lung,COPD,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::copd::23522490,copd,copd,undecane,0.0701,1.0497894469607874,1.0,lung,COPD,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::copd::23522490,copd,copd,xylene,0.2545,1.0736300124344615,0.9,lung,COPD,,2.0,measured_cohort_relative,23522490,scientific_data_figshare
real::cystic_fibrosis::10.1164/ajrccm.161.4.9906122,cystic_fibrosis,cystic_fibrosis,hydrogen_sulfide,0.8,13.928809012737986,8.0,lung,Cystic fibrosis,,2.0,literature:quantified,10.1164/ajrccm.161.4.9906122,literature_panel
real::cystic_fibrosis::10.1164/ajrccm.161.4.9906122,cystic_fibrosis,cystic_fibrosis,ethane,1.279,6.066767801243463,2.5,lung,Cystic fibrosis,,2.0,literature:quantified,10.1164/ajrccm.161.4.9906122,literature_panel
real::cystic_fibrosis::10.1164/ajrccm.161.4.9906122,cystic_fibrosis,cystic_fibrosis,indole,0.55,2.635354252702126,1.8,lung,Cystic fibrosis,,2.0,literature:quantified,10.1164/ajrccm.161.4.9906122,literature_panel
real::cystic_fibrosis::10.1164/ajrccm.161.4.9906122,cystic_fibrosis,cystic_fibrosis,dms,0.7,23.555319494330828,14.5,lung,Cystic fibrosis,,2.0,literature:quantified,10.1164/ajrccm.161.4.9906122,literature_panel
real::cystic_fibrosis::10.1164/ajrccm.161.4.9906122,cystic_fibrosis,cystic_fibrosis,phenol,0.4,4.618277687705129,3.5,lung,Cystic fibrosis,,2.0,literature:quantified,10.1164/ajrccm.161.4.9906122,literature_panel
real::cystic_fibrosis::10.1164/ajrccm.161.4.9906122,cystic_fibrosis,cystic_fibrosis,acetone,0.35,607.9654192312881,477.0,lung,Cystic fibrosis,,2.0,literature:quantified,10.1164/ajrccm.161.4.9906122,literature_panel
real::cystic_fibrosis::10.1164/ajrccm.161.4.9906122,cystic_fibrosis,cystic_fibrosis,ethanol,0.3,147.73732960138994,120.0,lung,Cystic fibrosis,,2.0,literature:quantified,10.1164/ajrccm.161.4.9906122,literature_panel
real::cystic_fibrosis::10.1164/ajrccm.161.4.9906122,cystic_fibrosis,cystic_fibrosis,hexanal,0.55,6.149159922971627,4.2,lung,Cystic fibrosis,,2.0,literature:quantified,10.1164/ajrccm.161.4.9906122,literature_panel
real::cystic_fibrosis::10.1164/ajrccm.161.4.9906122,cystic_fibrosis,cystic_fibrosis,pentane,0.5,12.020815280171309,8.5,lung,Cystic fibrosis,,2.0,literature:quantified,10.1164/ajrccm.161.4.9906122,literature_panel
real::cystic_fibrosis::10.1164/ajrccm.161.4.9906122,cystic_fibrosis,cystic_fibrosis,isoprene,-0.3,85.28650161740474,105.0,lung,Cystic fibrosis,,2.0,literature:quantified,10.1164/ajrccm.161.4.9906122,literature_panel
real::heart_failure::10.1016/j.jacc.2012.12.033,heart_failure,heart_failure,acetone,2.117,2069.1828960725647,477.0,heart,Heart failure,,2.0,literature:quantified,10.1016/j.jacc.2012.12.033,literature_panel
real::heart_failure::10.1016/j.jacc.2012.12.033,heart_failure,heart_failure,pentane,0.862,15.44922797962484,8.5,heart,Heart failure,,2.0,literature:quantified,10.1016/j.jacc.2012.12.033,literature_panel
real::heart_failure::10.1016/j.jacc.2012.12.033,heart_failure,heart_failure,methanol,0.2,183.7917367995256,160.0,heart,Heart failure,,2.0,literature:quantified,10.1016/j.jacc.2012.12.033,literature_panel
real::cystic_fibrosis::10.1164/ajrccm.161.4.9906122,cystic_fibrosis,cystic_fibrosis,ammonia,0.35,318.64015682981557,250.0,lung,Cystic fibrosis,,2.0,literature:quantified,10.1164/ajrccm.161.4.9906122,literature_panel
real::heart_failure::10.1016/j.jacc.2012.12.033,heart_failure,heart_failure,isoprene,-0.35,82.38133027915883,105.0,heart,Heart failure,,2.0,literature:quantified,10.1016/j.jacc.2012.12.033,literature_panel
real::heart_failure::10.1016/j.jacc.2012.12.033,heart_failure,heart_failure,hexanal,0.5,5.939696961967,4.2,heart,Heart failure,,2.0,literature:quantified,10.1016/j.jacc.2012.12.033,literature_panel
real::heart_failure::10.1016/j.jacc.2012.12.033,heart_failure,heart_failure,isopropanol,0.4,32.98769776932235,25.0,heart,Heart failure,,2.0,literature:quantified,10.1016/j.jacc.2012.12.033,literature_panel
real::heart_failure::10.1016/j.jacc.2012.12.033,heart_failure,heart_failure,ammonia,0.3,307.7861033362291,250.0,heart,Heart failure,,2.0,literature:quantified,10.1016/j.jacc.2012.12.033,literature_panel
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,dodecane,-0.45,0.6588385631755315,0.9,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,butane,-0.45,2.196128543918438,3.0,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,propanol,0.65,18.830018349522017,12.0,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,octane,0.65,1.8830018349522017,1.2,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,hexanal,0.65,6.590506422332707,4.2,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,nonanal,0.5,7.0710678118654755,5.0,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,acetone,0.35,607.9654192312881,477.0,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,isoprene,-0.35,82.38133027915883,105.0,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,ethyl_acetate,-0.45,2.5621499679048445,3.5,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,ethylbenzene,-0.45,0.5124299935809689,0.7,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,furan,-0.45,0.5856342783782502,0.8,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::copd::10.1164/ajrccm.162.2.9909025,copd,copd,octane,-0.45,0.8784514175673752,1.2,lung,COPD,,2.0,literature:mixed,10.1164/ajrccm.162.2.9909025,literature_panel
real::asthma::10.1164/ajrccm.162.4.2003064,asthma,asthma,furan,0.65,1.2553345566348013,0.8,lung,Asthma,,2.0,literature:mixed,10.1164/ajrccm.162.4.2003064,literature_panel
