study_id,disease_id,voc_id,log2_fold_change,disease_median,control_median,n_disease,n_control,unit,source,label_origin,note
23522490,copd,butane,0.2896,13976.50926969697,11434.296791554356,,,gcms_intensity,scientific_data_figshare,measured_cohort_relative,fold vs other Sci Data pulmonary cohorts (no healthy arm)
23522490,copd,decanal,-0.3424,14598.576848484849,18508.720066576818,,,gcms_intensity,scientific_data_figshare,measured_cohort_relative,fold vs other Sci Data pulmonary cohorts (no healthy arm)
23522490,copd,dodecane,-0.6262,275997.7484848485,425988.24220956874,,,gcms_intensity,scientific_data_figshare,measured_cohort_relative,fold vs other Sci Data pulmonary cohorts (no healthy arm)
23522490,copd,ethanol,-0.1982,70623.5672551515,81025.85314570754,,,gcms_intensity,scientific_data_figshare,measured_cohort_relative,fold vs other Sci Data pulmonary cohorts (no healthy arm)
23522490,copd,ethyl_acetate,-0.4695,6963.039124242424,9641.056256159029,,,gcms_intensity,scientific_data_figshare,measured_cohort_relative,fold vs other Sci Data pulmonary cohorts (no healthy arm)
23522490,copd,ethylbenzene,-0.8811,40302.74795609091,74229.35351978436,,,gcms_intensity,scientific_data_figshare,measured_cohort_relative,fold vs other Sci Data pulmonary cohorts (no healthy arm)
23522490,copd,furan,-4.3969,35775.66515151515,753655.8877549147,,,gcms_intensity,scientific_data_figshare,measured_cohort_relative,fold vs other Sci Data pulmonary cohorts (no healthy arm)
23522490,copd,hexane,0.252,19716.95778787879,16557.01405929919,,,gcms_intensity,scientific_data_figshare,measured_cohort_relative,fold vs other Sci Data pulmonary cohorts (no healthy arm)
23522490,copd,isopropanol,-0.1993,940233.210771212,1079533.1630151551,,,gcms_intensity,scientific_data_figshare,measured_cohort_relative,fold vs other Sci Data pulmonary cohorts (no healthy arm)
23522490,copd,octane,-0.6516,8414.794196969697,13218.436884231807,,,gcms_intensity,scientific_data_figshare,measured_cohort_relative,fold vs other Sci Data pulmonary cohorts (no healthy arm)
23522490,copd,phenol,0.089,101008.9790771212,94964.34540893801,,,gcms_intensity,scientific_data_figshare,measured_cohort_relative,fold vs other Sci Data pulmonary cohorts (no healthy arm)
23522490,copd,propanol,-0.2816,43357.32121212121,52703.167493261455,,,gcms_intensity,scientific_data_figshare,measured_cohort_relative,fold vs other Sci Data pulmonary cohorts (no healthy arm)
23522490,copd,undecane,0.0701,207832.04363636364,197976.40908611863,,,gcms_intensity,scientific_data_figshare,measured_cohort_relative,fold vs other Sci Data pulmonary cohorts (no healthy arm)
23522490,copd,xylene,0.2545,90825.2766060606,76136.91825514311,,,gcms_intensity,scientific_data_figshare,measured_cohort_relative,fold vs other Sci Data pulmonary cohorts (no healthy arm)
10.1164/ajrccm.161.4.9906122,cystic_fibrosis,hydrogen_sulfide,0.8,,,,,literature_log2fc,literature_panel,literature:quantified,Exhaled Ethane Is Elevated in Cystic Fibrosis and Correlates with Carbon Monoxide Levels and Airway Obstruction; 10.1164/ajrccm.161.4.9906122
10.1164/ajrccm.161.4.9906122,cystic_fibrosis,ethane,1.279,,,,,literature_log2fc,literature_panel,literature:quantified,Exhaled Ethane Is Elevated in Cystic Fibrosis and Correlates with Carbon Monoxide Levels and Airway Obstruction; 10.1164/ajrccm.161.4.9906122
10.1164/ajrccm.161.4.9906122,cystic_fibrosis,indole,0.55,,,,,literature_log2fc,literature_panel,literature:quantified,Exhaled Ethane Is Elevated in Cystic Fibrosis and Correlates with Carbon Monoxide Levels and Airway Obstruction; 10.1164/ajrccm.161.4.9906122
10.1164/ajrccm.161.4.9906122,cystic_fibrosis,dms,0.7,,,,,literature_log2fc,literature_panel,literature:quantified,Exhaled Ethane Is Elevated in Cystic Fibrosis and Correlates with Carbon Monoxide Levels and Airway Obstruction; 10.1164/ajrccm.161.4.9906122
10.1164/ajrccm.161.4.9906122,cystic_fibrosis,phenol,0.4,,,,,literature_log2fc,literature_panel,literature:quantified,Exhaled Ethane Is Elevated in Cystic Fibrosis and Correlates with Carbon Monoxide Levels and Airway Obstruction; 10.1164/ajrccm.161.4.9906122
10.1164/ajrccm.161.4.9906122,cystic_fibrosis,acetone,0.35,,,,,literature_log2fc,literature_panel,literature:quantified,Exhaled Ethane Is Elevated in Cystic Fibrosis and Correlates with Carbon Monoxide Levels and Airway Obstruction; 10.1164/ajrccm.161.4.9906122
