gene_symbol,ssm_occurrence_count
KRAS,108
TTN,100
TP53,99
SMAD4,36
CDKN2A,31
SYNE1,23
DST,19
PLEC,18
MACF1,17
PCDH15,16
OBSCN,16
RYR3,16
SYNE2,14
ANKRD11,12
PKD1,11
ARID1A,11
NEB,11
CACNA1A,10
PEG3,10
ANK2,9
ADGRL2,9
CACNA1C,9
XIRP2,9
SCN5A,9
MYO9A,9
