gene_symbol,ssm_occurrence_count
TTN,887
APC,493
SYNE1,304
TP53,253
FAT4,221
OBSCN,201
KRAS,182
DST,174
RYR2,165
ZFHX4,156
NEB,155
PIK3CA,154
CSMD1,147
RYR3,137
MACF1,116
XIRP2,114
ADGRV1,114
CSMD3,113
ANK2,98
SYNE2,98
PCDH15,93
ANK3,87
DMD,87
FBXW7,86
CACNA1E,81
