gene_symbol,ssm_occurrence_count
TTN,827
MUC16,477
RYR2,444
CSMD3,413
LRP1B,360
USH2A,330
TP53,299
ZFHX4,289
XIRP2,242
PCDH15,183
FAT3,171
ANK2,169
CSMD1,166
NAV3,165
ZNF536,162
RYR3,160
COL11A1,159
DST,146
KRAS,138
DMD,134
PTPRD,132
PCDH11X,123
SYNE1,120
OBSCN,120
NRXN1,118
