disease_a,disease_b,category_a,category_b,n_shared_elevated,shared_vocs,cosine
ards,colon_adenocarcinoma,pulmonary,cancer,8,acetaldehyde|acetone|ethanol|heptanal|hexanal|nonanal|octanal|pentane,0.7358068388906511
colon_adenocarcinoma,covid19,cancer,infectious,8,2_butanone|acetone|ethanol|heptanal|hexanal|nonanal|octanal|pentane,0.7243866702509388
ards,covid19,pulmonary,infectious,7,acetone|ethanol|heptanal|hexanal|nonanal|octanal|pentane,0.9866037549367999
ards,cancer_kidney,pulmonary,cancer,7,acetaldehyde|ethanol|heptanal|hexanal|nonanal|octanal|pentane,0.9509846033450221
cancer_kidney,covid19,cancer,infectious,7,2_butanone|ethanol|heptanal|hexanal|nonanal|octanal|pentane,0.9438281039951125
ards,cervical_cancer,pulmonary,cancer,7,acetaldehyde|ethanol|heptanal|hexanal|nonanal|octanal|pentane,0.940001772517157
ards,cancer_bladder,pulmonary,cancer,7,acetaldehyde|ethanol|heptanal|hexanal|nonanal|octanal|pentane,0.9326237057517267
cervical_cancer,covid19,cancer,infectious,7,2_butanone|ethanol|heptanal|hexanal|nonanal|octanal|pentane,0.9319980395419383
ards,endometrial_cancer,pulmonary,cancer,7,acetaldehyde|ethanol|heptanal|hexanal|nonanal|octanal|pentane,0.928039016961258
cancer_bladder,covid19,cancer,infectious,7,2_butanone|ethanol|heptanal|hexanal|nonanal|octanal|pentane,0.9245125864453471
covid19,endometrial_cancer,infectious,cancer,7,2_butanone|ethanol|heptanal|hexanal|nonanal|octanal|pentane,0.9198254441053791
ards,cancer_blood,pulmonary,cancer,7,acetaldehyde|ethanol|heptanal|hexanal|nonanal|octanal|pentane,0.887079699199425
cancer_blood,covid19,cancer,infectious,7,2_butanone|ethanol|heptanal|hexanal|nonanal|octanal|pentane,0.876370909631505
ards,esophageal_cancer,pulmonary,cancer,7,acetaldehyde|ethanol|heptanal|hexanal|nonanal|octanal|pentane,0.8375171387919694
autism_spectrum_disorder,cystic_fibrosis,neurological,pulmonary,7,ammonia|ethanol|hexanal|hydrogen_sulfide|indole|pentane|phenol,0.8358962860466532
covid19,esophageal_cancer,infectious,cancer,7,2_butanone|ethanol|heptanal|hexanal|nonanal|octanal|pentane,0.8239502263254308
ards,cancer_skin_melanoma,pulmonary,cancer,7,acetaldehyde|ethanol|heptanal|hexanal|nonanal|octanal|pentane,0.7432865971857247
cancer_skin_melanoma,covid19,cancer,infectious,7,2_butanone|ethanol|heptanal|hexanal|nonanal|octanal|pentane,0.7258061483206483
cancer_stomach,cystic_fibrosis,cancer,pulmonary,7,acetone|ammonia|ethanol|hexanal|hydrogen_sulfide|pentane|phenol,0.6717921303450053
ards,creutzfeldt_jakob,pulmonary,neurological,6,acetone|heptanal|hexanal|nonanal|octanal|pentane,0.9902748581838201
covid19,creutzfeldt_jakob,infectious,neurological,6,acetone|heptanal|hexanal|nonanal|octanal|pentane,0.9843140288145912
copd,creutzfeldt_jakob,pulmonary,neurological,6,acetone|ethane|heptanal|hexanal|nonanal|pentane,0.9490184940270643
copd,covid19,pulmonary,infectious,6,2_butanone|acetone|heptanal|hexanal|nonanal|pentane,0.9409759136178258
cancer_stomach,covid19,cancer,infectious,6,2_butanone|acetone|ethanol|hexanal|nonanal|pentane,0.7827331914509776
cancer_stomach,copd,cancer,pulmonary,6,2_butanone|acetone|hexanal|nonanal|pentane|phenol,0.7139997978653863
colon_adenocarcinoma,creutzfeldt_jakob,cancer,neurological,6,acetone|heptanal|hexanal|nonanal|octanal|pentane,0.6911065097246745
colon_adenocarcinoma,copd,cancer,pulmonary,6,2_butanone|acetone|heptanal|hexanal|nonanal|pentane,0.6495865212377481
ards,breast_invasive_carcinoma,pulmonary,cancer,6,acetaldehyde|acetone|ethanol|hexanal|octanal|pentane,0.6194669800442574
breast_invasive_carcinoma,covid19,cancer,infectious,6,2_butanone|acetone|ethanol|hexanal|octanal|pentane,0.6020530918547364
autism_spectrum_disorder,cancer_stomach,neurological,cancer,6,ammonia|ethanol|hexanal|hydrogen_sulfide|pentane|phenol,0.4992211778912905
chronic_bronchitis,creutzfeldt_jakob,pulmonary,neurological,5,ammonia|ethane|hexanal|nonanal|pentane,0.9762069378783662
bipolar,chronic_bronchitis,neurological,pulmonary,5,ammonia|ethane|hexanal|nonanal|pentane,0.9623276826362429
asthma,creutzfeldt_jakob,pulmonary,neurological,5,acetone|ethane|hexanal|nonanal|pentane,0.9467262431295668
alzheimer_disease,asthma,neurological,pulmonary,5,acetone|ethane|hexanal|nonanal|pentane,0.9440146426478225
als,copd,neurological,pulmonary,5,acetone|ethane|hexanal|nonanal|pentane,0.9350706627976428
cancer_kidney,creutzfeldt_jakob,cancer,neurological,5,heptanal|hexanal|nonanal|octanal|pentane,0.9345796086517666
als,asthma,neurological,pulmonary,5,acetone|ethane|hexanal|nonanal|pentane,0.9331247632041182
alzheimer_disease,copd,neurological,pulmonary,5,acetone|ethane|hexanal|nonanal|pentane,0.9330884291062073
asthma,covid19,pulmonary,infectious,5,acetone|ethanol|hexanal|nonanal|pentane,0.9245657111538454
cervical_cancer,creutzfeldt_jakob,cancer,neurological,5,heptanal|hexanal|nonanal|octanal|pentane,0.9150077557502018
cancer_bladder,creutzfeldt_jakob,cancer,neurological,5,heptanal|hexanal|nonanal|octanal|pentane,0.907198769103767
creutzfeldt_jakob,endometrial_cancer,neurological,cancer,5,heptanal|hexanal|nonanal|octanal|pentane,0.9017892952363038
cancer_kidney,copd,cancer,pulmonary,5,2_butanone|heptanal|hexanal|nonanal|pentane,0.8876472699785077
