disease_a,disease_b,category_a,category_b,n_shared_elevated,shared_vocs,cosine
cervical_cancer,copd,cancer,pulmonary,5,2_butanone|heptanal|hexanal|nonanal|pentane,0.868891745559692
cancer_bladder,copd,cancer,pulmonary,5,2_butanone|heptanal|hexanal|nonanal|pentane,0.8627773525929796
copd,endometrial_cancer,pulmonary,cancer,5,2_butanone|heptanal|hexanal|nonanal|pentane,0.8579048884058452
creutzfeldt_jakob,cystic_fibrosis,neurological,pulmonary,5,acetone|ammonia|ethane|hexanal|pentane,0.854974834285957
asthma,cancer_kidney,pulmonary,cancer,5,ethanol|hexanal|nonanal|octane|pentane,0.8524272725978942
cancer_prostate,covid19,cancer,infectious,5,2_butanone|acetone|ethanol|hexanal|pentane,0.8514600123412054
cancer_blood,creutzfeldt_jakob,cancer,neurological,5,heptanal|hexanal|nonanal|octanal|pentane,0.8506974823534091
asthma,cervical_cancer,pulmonary,cancer,5,ethanol|hexanal|nonanal|octane|pentane,0.8446209268960092
asthma,cancer_bladder,pulmonary,cancer,5,ethanol|hexanal|nonanal|octane|pentane,0.8320745177960495
asthma,endometrial_cancer,pulmonary,cancer,5,ethanol|hexanal|nonanal|octane|pentane,0.8260882015054644
cancer_blood,copd,cancer,pulmonary,5,2_butanone|heptanal|hexanal|nonanal|pentane,0.8054022857159902
creutzfeldt_jakob,esophageal_cancer,neurological,cancer,5,heptanal|hexanal|nonanal|octanal|pentane,0.7963514242878187
asthma,cancer_blood,pulmonary,cancer,5,ethanol|hexanal|nonanal|octane|pentane,0.7934504344762262
ards,cancer_stomach,pulmonary,cancer,5,acetone|ethanol|hexanal|nonanal|pentane,0.7496610884317082
copd,esophageal_cancer,pulmonary,cancer,5,2_butanone|heptanal|hexanal|nonanal|pentane,0.7496238690978181
asthma,esophageal_cancer,pulmonary,cancer,5,ethanol|hexanal|nonanal|octane|pentane,0.7443581595441517
cancer_stomach,creutzfeldt_jakob,cancer,neurological,5,acetone|ammonia|hexanal|nonanal|pentane,0.739522765750269
cancer_stomach,chronic_bronchitis,cancer,pulmonary,5,ammonia|hexanal|hydrogen_sulfide|nonanal|pentane,0.7192579630109551
asthma,cancer_stomach,pulmonary,cancer,5,acetone|ethanol|hexanal|nonanal|pentane,0.7066491762469834
autism_spectrum_disorder,clostridioides_difficile_infection,neurological,microbiome,5,ammonia|ethanol|hydrogen_sulfide|indole|phenol,0.7041058397114419
cancer_skin_melanoma,creutzfeldt_jakob,cancer,neurological,5,heptanal|hexanal|nonanal|octanal|pentane,0.6967826115778545
cancer_skin_melanoma,copd,cancer,pulmonary,5,2_butanone|heptanal|hexanal|nonanal|pentane,0.6501653119534587
asthma,cancer_skin_melanoma,pulmonary,cancer,5,ethanol|hexanal|nonanal|octane|pentane,0.6480143081990108
chronic_kidney_disease,cystic_fibrosis,metabolic,pulmonary,5,acetone|ammonia|dms|hexanal|pentane,0.6453325749019992
asthma,colon_adenocarcinoma,pulmonary,cancer,5,acetone|ethanol|hexanal|nonanal|pentane,0.6358466976155843
colon_adenocarcinoma,cystic_fibrosis,cancer,pulmonary,5,acetone|ethanol|hexanal|hydrogen_sulfide|pentane,0.6050549958635966
clostridioides_difficile_infection,cystic_fibrosis,microbiome,pulmonary,5,ammonia|ethanol|hydrogen_sulfide|indole|phenol,0.5110571327115662
cancer_stomach,chronic_kidney_disease,cancer,metabolic,5,2_butanone|acetone|ammonia|hexanal|pentane,0.3821579143322521
chronic_kidney_disease,copd,metabolic,pulmonary,5,2_butanone|acetone|hexanal|isopropanol|pentane,0.36009247084309903
alzheimer_disease,covid19,neurological,infectious,4,acetone|hexanal|nonanal|pentane,0.9753665858714378
alzheimer_disease,ards,neurological,pulmonary,4,acetone|hexanal|nonanal|pentane,0.9732161049552083
als,covid19,neurological,infectious,4,acetone|hexanal|nonanal|pentane,0.9698830796363089
adhd,ards,neurological,pulmonary,4,acetaldehyde|ethanol|hexanal|pentane,0.9688167305543266
als,ards,neurological,pulmonary,4,acetone|hexanal|nonanal|pentane,0.9652708263283858
alzheimer_disease,chronic_bronchitis,neurological,pulmonary,4,ethane|hexanal|nonanal|pentane,0.9613077388047477
als,chronic_bronchitis,neurological,pulmonary,4,ethane|hexanal|nonanal|pentane,0.9570407910902294
adhd,cancer_kidney,neurological,cancer,4,acetaldehyde|ethanol|hexanal|pentane,0.9441328773074034
