disease_id,category,voc_id,log2_fold_change
alcohol_use,unspecified,dms,0.013446960918225297
alcohol_use,unspecified,dmts,0.019280317709067088
alcohol_use,unspecified,dodecane,-0.007304118507233482
alcohol_use,unspecified,ethane,-0.0042539425989014
alcohol_use,unspecified,ethanol,0.005249858551974376
alcohol_use,unspecified,ethyl_acetate,0.027045165055744034
alcohol_use,unspecified,ethylbenzene,-0.15490592105918605
alcohol_use,unspecified,formaldehyde,-0.02588542620236717
alcohol_use,unspecified,furan,-0.005642066576427045
alcohol_use,unspecified,heptanal,0.06873937958715444
alcohol_use,unspecified,hexanal,1.1716855800476829
alcohol_use,unspecified,hexane,-0.0003490802650465204
alcohol_use,unspecified,hydrogen_sulfide,-0.004161938961984116
alcohol_use,unspecified,indole,0.013446960918225614
alcohol_use,unspecified,isoprene,-0.07642489056930739
alcohol_use,unspecified,isopropanol,0.0824228677712776
alcohol_use,unspecified,limonene,-0.0030891181027738347
alcohol_use,unspecified,methanol,-0.025885426202367008
alcohol_use,unspecified,methyl_acetate,-0.43120273504886686
alcohol_use,unspecified,methyl_mercaptan,-0.004161938961984116
alcohol_use,unspecified,nonanal,0.07630840027471689
alcohol_use,unspecified,octanal,0.13926413964270243
alcohol_use,unspecified,octane,0.317703056559684
alcohol_use,unspecified,pentane,1.8221909143014912
alcohol_use,unspecified,phenol,0.27944005743772243
alcohol_use,unspecified,propanol,-0.039544300824638765
alcohol_use,unspecified,propionaldehyde,-0.006146508992313526
alcohol_use,unspecified,pyrrole,-0.01898895105848673
alcohol_use,unspecified,styrene,-0.009265112591720479
alcohol_use,unspecified,toluene,-0.006072481196941563
alcohol_use,unspecified,trimethylamine,-0.003629091148007798
alcohol_use,unspecified,undecane,0.029820799528828507
alcohol_use,unspecified,xylene,0.013446960918225297
als,neurological,2_butanone,0.037171784280570774
als,neurological,2_pentanone,-0.1482134831642181
als,neurological,3_methylbutanal,0.001439405007699143
als,neurological,acetaldehyde,0.0035388886846442424
als,neurological,acetone,0.3627779793789252
als,neurological,acetonitrile,-0.14179615694676684
als,neurological,allyl_methyl_sulfide,-0.14559204109586646
als,neurological,ammonia,0.046194113501003574
als,neurological,benzaldehyde,-0.0036775492351255766
als,neurological,benzene,0.04635951844379424
als,neurological,butane,0.038166379136679134
als,neurological,carbon_disulfide,0.01559061026401465
als,neurological,crotonaldehyde,0.04416027354056919
als,neurological,cyclohexane,0.032905438909735504
als,neurological,decanal,0.05714796031307215
als,neurological,dimethyl_amine,-0.007737307399069048
als,neurological,dimethyl_disulfide,0.008218163435961098
als,neurological,dms,0.005496411471059166
als,neurological,dmts,0.015593857442523326
als,neurological,dodecane,0.025569738195100118
als,neurological,ethane,0.5088396043097527
als,neurological,ethanol,0.0005867416556261358
als,neurological,ethyl_acetate,0.010722416488552922
als,neurological,ethylbenzene,-0.059579200407379365
als,neurological,formaldehyde,0.025564646539149898
als,neurological,furan,0.005778608605654981
als,neurological,heptanal,0.08656376137967477
als,neurological,hexanal,2.9113639465161523
als,neurological,hexane,0.04676159228182553
als,neurological,hydrogen_sulfide,0.00097536537023319
als,neurological,indole,0.012917348817088739
als,neurological,isoprene,-0.12490381391572769
als,neurological,isopropanol,0.0517881847775151
als,neurological,limonene,0.006990228284123086
als,neurological,methanol,0.010939646539149887
als,neurological,methyl_acetate,-0.14280250908933081
als,neurological,methyl_mercaptan,0.0009753653702328698
als,neurological,nonanal,0.4913088645088812
als,neurological,octanal,0.31779751619206864
als,neurological,octane,0.15726671406141696
als,neurological,pentane,3.9841822855866744
als,neurological,phenol,0.10747694516835488
als,neurological,propanol,0.1473621801156634
als,neurological,propionaldehyde,0.04954227354056917
als,neurological,pyrrole,-0.008349201802958986
als,neurological,styrene,0.003248656771566374
als,neurological,toluene,0.004476591923404524
als,neurological,trimethylamine,0.0011126774052173413
als,neurological,undecane,0.041852737439739315
als,neurological,xylene,0.005496411471059485
alzheimer_disease,neurological,2_butanone,0.05508721481449721
alzheimer_disease,neurological,2_pentanone,0.022888647641658818
alzheimer_disease,neurological,3_methylbutanal,0.001439405007699143
alzheimer_disease,neurological,acetaldehyde,0.0021754239285127095
alzheimer_disease,neurological,acetone,0.616210337585377
alzheimer_disease,neurological,acetonitrile,-0.14136265975275658
alzheimer_disease,neurological,allyl_methyl_sulfide,-0.14515854390185615
alzheimer_disease,neurological,ammonia,0.05335789508306271
alzheimer_disease,neurological,benzaldehyde,-0.0036775492351255766
alzheimer_disease,neurological,benzene,-0.0779487202743118
alzheimer_disease,neurological,butane,0.05458837913667914
alzheimer_disease,neurological,carbon_disulfide,0.01559061026401465
alzheimer_disease,neurological,crotonaldehyde,0.06292827354056915
alzheimer_disease,neurological,cyclohexane,0.04698143890973543
alzheimer_disease,neurological,decanal,0.09468727616244592
alzheimer_disease,neurological,dimethyl_amine,-0.007737307399069048
alzheimer_disease,neurological,dimethyl_disulfide,0.008218163435961098
alzheimer_disease,neurological,dms,0.005496411471059166
alzheimer_disease,neurological,dmts,0.015593857442523326
alzheimer_disease,neurological,dodecane,0.03870733819509992
alzheimer_disease,neurological,ethane,0.6517983146900213
alzheimer_disease,neurological,ethanol,0.0005867416556261358
alzheimer_disease,neurological,ethyl_acetate,0.010722416488552922
alzheimer_disease,neurological,ethylbenzene,-0.059579200407379365
alzheimer_disease,neurological,formaldehyde,0.02260514373316027
alzheimer_disease,neurological,furan,0.00934050920243938
alzheimer_disease,neurological,heptanal,0.1147157613796746
alzheimer_disease,neurological,hexanal,3.8106537235286373
alzheimer_disease,neurological,hexane,0.06552959228182567
alzheimer_disease,neurological,hydrogen_sulfide,0.00097536537023319
alzheimer_disease,neurological,indole,0.011187917580456565
alzheimer_disease,neurological,isoprene,-0.14119284669161852
alzheimer_disease,neurological,isopropanol,0.0517881847775151
alzheimer_disease,neurological,limonene,0.006990228284123086
alzheimer_disease,neurological,methanol,0.011373143733160429
alzheimer_disease,neurological,methyl_acetate,-0.14236901189532053
alzheimer_disease,neurological,methyl_mercaptan,0.0009753653702328698
alzheimer_disease,neurological,nonanal,0.6510745415647539
alzheimer_disease,neurological,octanal,0.3295311941038829
alzheimer_disease,neurological,octane,0.20775618031104004
alzheimer_disease,neurological,pentane,4.839427754358179
alzheimer_disease,neurological,phenol,-0.011265006544239831
alzheimer_disease,neurological,propanol,0.18284022130875102
alzheimer_disease,neurological,propionaldehyde,0.07065627354056915
alzheimer_disease,neurological,pyrrole,-0.008349201802958986
alzheimer_disease,neurological,styrene,0.003248656771566374
alzheimer_disease,neurological,toluene,0.004476591923404524
alzheimer_disease,neurological,trimethylamine,0.0011126774052173413
alzheimer_disease,neurological,undecane,0.055928737439739314
alzheimer_disease,neurological,xylene,0.005496411471059485
anemia,unspecified,2_butanone,0.10580077710244654
anemia,unspecified,2_pentanone,-0.38535505622696714
anemia,unspecified,3_methylbutanal,0.005136607932797258
anemia,unspecified,acetaldehyde,-0.009903358941706419
anemia,unspecified,acetone,0.28689024298271204
anemia,unspecified,acetonitrile,-0.42503412803449997
anemia,unspecified,allyl_methyl_sulfide,-0.43490342682215893
anemia,unspecified,ammonia,0.10155652453452596
anemia,unspecified,benzaldehyde,-0.0068426543821201
anemia,unspecified,benzene,0.12053474795386482
anemia,unspecified,butane,-0.009669434442427105
anemia,unspecified,carbon_disulfide,0.022823966488644563
anemia,unspecified,crotonaldehyde,-0.007112508992313598
anemia,unspecified,cyclohexane,0.010109914794519295
anemia,unspecified,decanal,-0.015978214827506134
anemia,unspecified,dimethyl_amine,-0.015807116517464023
anemia,unspecified,dimethyl_disulfide,0.00010351329200491581
anemia,unspecified,dms,0.013446960918225297
anemia,unspecified,dmts,0.019280317709067088
anemia,unspecified,dodecane,-0.007304118507233482
anemia,unspecified,ethane,-0.0042539425989014
anemia,unspecified,ethanol,0.005249858551974376
anemia,unspecified,ethyl_acetate,0.027045165055744034
anemia,unspecified,ethylbenzene,-0.15490592105918605
anemia,unspecified,formaldehyde,-0.02588542620236717
anemia,unspecified,furan,-0.005642066576427045
anemia,unspecified,heptanal,0.06873937958715444
anemia,unspecified,hexanal,1.1716855800476829
anemia,unspecified,hexane,-0.0003490802650465204
anemia,unspecified,hydrogen_sulfide,-0.004161938961984116
anemia,unspecified,indole,0.013446960918225614
anemia,unspecified,isoprene,-0.07642489056930739
anemia,unspecified,isopropanol,0.0824228677712776
anemia,unspecified,limonene,-0.0030891181027738347
anemia,unspecified,methanol,-0.025885426202367008
anemia,unspecified,methyl_acetate,-0.43120273504886686
anemia,unspecified,methyl_mercaptan,-0.004161938961984116
anemia,unspecified,nonanal,0.07630840027471689
anemia,unspecified,octanal,0.13926413964270243
anemia,unspecified,octane,0.317703056559684
anemia,unspecified,pentane,1.8221909143014912
anemia,unspecified,phenol,0.27944005743772243
anemia,unspecified,propanol,-0.039544300824638765
anemia,unspecified,propionaldehyde,-0.006146508992313526
anemia,unspecified,pyrrole,-0.01898895105848673
anemia,unspecified,styrene,-0.009265112591720479
anemia,unspecified,toluene,-0.006072481196941563
anemia,unspecified,trimethylamine,-0.003629091148007798
anemia,unspecified,undecane,0.029820799528828507
anemia,unspecified,xylene,0.013446960918225297
anxiety,neurological,2_butanone,0.037171784280570774
anxiety,neurological,2_pentanone,-0.1482134831642181
anxiety,neurological,3_methylbutanal,0.001439405007699143
anxiety,neurological,acetaldehyde,0.0035388886846442424
anxiety,neurological,acetone,0.3627779793789252
anxiety,neurological,acetonitrile,-0.14179615694676684
anxiety,neurological,allyl_methyl_sulfide,-0.14559204109586646
anxiety,neurological,ammonia,0.046194113501003574
anxiety,neurological,benzaldehyde,-0.0036775492351255766
anxiety,neurological,benzene,0.04635951844379424
anxiety,neurological,butane,0.038166379136679134
anxiety,neurological,carbon_disulfide,0.01559061026401465
anxiety,neurological,crotonaldehyde,0.04416027354056919
anxiety,neurological,cyclohexane,0.032905438909735504
anxiety,neurological,decanal,0.05714796031307215
anxiety,neurological,dimethyl_amine,-0.007737307399069048
anxiety,neurological,dimethyl_disulfide,0.008218163435961098
anxiety,neurological,dms,0.005496411471059166
anxiety,neurological,dmts,0.015593857442523326
anxiety,neurological,dodecane,0.025569738195100118
anxiety,neurological,ethane,0.5088396043097527
anxiety,neurological,ethanol,0.0005867416556261358
anxiety,neurological,ethyl_acetate,0.010722416488552922
anxiety,neurological,ethylbenzene,-0.059579200407379365
anxiety,neurological,formaldehyde,0.025564646539149898
anxiety,neurological,furan,0.005778608605654981
anxiety,neurological,heptanal,0.08656376137967477
anxiety,neurological,hexanal,2.9009380297986245
anxiety,neurological,hexane,0.04676159228182553
anxiety,neurological,hydrogen_sulfide,0.00097536537023319
anxiety,neurological,indole,0.012917348817088739
anxiety,neurological,isoprene,-0.12490381391572769
anxiety,neurological,isopropanol,0.0517881847775151
anxiety,neurological,limonene,0.006990228284123086
anxiety,neurological,methanol,0.010939646539149887
anxiety,neurological,methyl_acetate,-0.14280250908933081
anxiety,neurological,methyl_mercaptan,0.0009753653702328698
anxiety,neurological,nonanal,0.4913088645088812
anxiety,neurological,octanal,0.31779751619206864
anxiety,neurological,octane,0.15726671406141696
anxiety,neurological,pentane,3.7392211358615635
anxiety,neurological,phenol,0.10747694516835488
anxiety,neurological,propanol,0.1473621801156634
anxiety,neurological,propionaldehyde,0.04954227354056917
anxiety,neurological,pyrrole,-0.008349201802958986
anxiety,neurological,styrene,0.003248656771566374
anxiety,neurological,toluene,0.004476591923404524
anxiety,neurological,trimethylamine,0.0011126774052173413
anxiety,neurological,undecane,0.041852737439739315
anxiety,neurological,xylene,0.005496411471059485
ards,pulmonary,2_butanone,0.05771048653884264
ards,pulmonary,2_pentanone,0.02148458190160494
ards,pulmonary,3_methylbutanal,0.16968878000769966
ards,pulmonary,acetaldehyde,0.6196404575612051
ards,pulmonary,acetone,0.5292693667929725
ards,pulmonary,acetonitrile,-0.13455362509997973
ards,pulmonary,allyl_methyl_sulfide,-0.13894965802416437
ards,pulmonary,ammonia,0.2494982838711224
ards,pulmonary,benzaldehyde,-0.0036775492351255766
ards,pulmonary,benzene,-0.07743999426934582
ards,pulmonary,butane,0.1279615864042614
ards,pulmonary,carbon_disulfide,0.01559061026401465
ards,pulmonary,crotonaldehyde,0.16728040093811547
ards,pulmonary,cyclohexane,0.16758920601749314
ards,pulmonary,decanal,0.3039016353844568
ards,pulmonary,dimethyl_amine,0.1124408176009309
ards,pulmonary,dimethyl_disulfide,0.008218163435961098
ards,pulmonary,dms,0.008236784468005307
ards,pulmonary,dmts,0.015593857442523326
ards,pulmonary,dodecane,0.14497635404447387
ards,pulmonary,ethane,0.32182562758814953
ards,pulmonary,ethanol,0.4750568139102311
ards,pulmonary,ethyl_acetate,0.010722416488552922
ards,pulmonary,ethylbenzene,-0.0690621811213965
ards,pulmonary,formaldehyde,0.01692949483401174
ards,pulmonary,furan,0.05855735563135678
ards,pulmonary,heptanal,0.8227222551618072
ards,pulmonary,hexanal,4.85650126771712
ards,pulmonary,hexane,0.16726271214812405
ards,pulmonary,hydrogen_sulfide,0.001462800885384349
ards,pulmonary,indole,0.008236784468005624
ards,pulmonary,isoprene,-0.3990688126383279
ards,pulmonary,isopropanol,0.05656752255853409
ards,pulmonary,limonene,0.006990228284123086
ards,pulmonary,methanol,0.018182178385937085
ards,pulmonary,methyl_acetate,-0.13555997724254368
ards,pulmonary,methyl_mercaptan,0.0014628008853840289
ards,pulmonary,nonanal,1.027136366338271
ards,pulmonary,octanal,0.7327093806563224
ards,pulmonary,octane,0.29783527234906326
ards,pulmonary,pentane,4.839427754358179
ards,pulmonary,phenol,-0.013452657620937282
ards,pulmonary,propanol,0.03618359093439889
ards,pulmonary,propionaldehyde,0.2302684317721819
ards,pulmonary,pyrrole,-0.008349201802958986
ards,pulmonary,styrene,0.003248656771566374
ards,pulmonary,toluene,0.004476591923404524
ards,pulmonary,trimethylamine,0.0016686944663632307
ards,pulmonary,undecane,0.16895030328911292
ards,pulmonary,xylene,0.008236784468005307
arrhythmia,cardiovascular,2_butanone,0.05882564921501778
arrhythmia,cardiovascular,2_pentanone,0.13891487689698054
arrhythmia,cardiovascular,3_methylbutanal,0.005891702351775134
arrhythmia,cardiovascular,acetaldehyde,-0.0016915483109127907
arrhythmia,cardiovascular,acetone,0.3148934125357539
arrhythmia,cardiovascular,acetonitrile,-0.16347466462865382
arrhythmia,cardiovascular,allyl_methyl_sulfide,-0.16727054877775338
arrhythmia,cardiovascular,ammonia,0.03914112595102315
arrhythmia,cardiovascular,benzaldehyde,-0.002631790146969322
arrhythmia,cardiovascular,benzene,0.04635951844379424
arrhythmia,cardiovascular,butane,0.03299221752214338
arrhythmia,cardiovascular,carbon_disulfide,0.008778448649478632
arrhythmia,cardiovascular,crotonaldehyde,0.03922011192603331
arrhythmia,cardiovascular,cyclohexane,0.03535519799789202
arrhythmia,cardiovascular,decanal,0.05154360968172848
arrhythmia,cardiovascular,dimethyl_amine,-0.003282457401821748
arrhythmia,cardiovascular,dimethyl_disulfide,3.981280461735194e-05
arrhythmia,cardiovascular,dms,0.005153966517019903
arrhythmia,cardiovascular,dmts,0.00741550681117983
arrhythmia,cardiovascular,dodecane,0.026559708266448653
arrhythmia,cardiovascular,ethane,0.057871714385037805
arrhythmia,cardiovascular,ethanol,0.0028518825633034486
arrhythmia,cardiovascular,ethyl_acetate,0.010401986559901604
arrhythmia,cardiovascular,ethylbenzene,-0.059579200407379365
arrhythmia,cardiovascular,formaldehyde,-0.009955933154756604
arrhythmia,cardiovascular,furan,0.009664062335568104
arrhythmia,cardiovascular,heptanal,0.08937176137967469
arrhythmia,cardiovascular,hexanal,2.133566995577173
arrhythmia,cardiovascular,hexane,0.04182143066728982
arrhythmia,cardiovascular,hydrogen_sulfide,-0.0016024880247879397
arrhythmia,cardiovascular,indole,0.005153966517019584
arrhythmia,cardiovascular,isoprene,-0.18965196746008403
arrhythmia,cardiovascular,isopropanol,0.06603411131328867
arrhythmia,cardiovascular,limonene,0.013094877652779174
arrhythmia,cardiovascular,methanol,-0.009955933154756604
arrhythmia,cardiovascular,methyl_acetate,-0.16584720578802575
arrhythmia,cardiovascular,methyl_mercaptan,-0.0016024880247879397
arrhythmia,cardiovascular,nonanal,0.09752738472104498
arrhythmia,cardiovascular,octanal,0.02492149834396321
arrhythmia,cardiovascular,octane,0.15890471406141685
arrhythmia,cardiovascular,pentane,2.792132039221091
arrhythmia,cardiovascular,phenol,0.10747694516835488
arrhythmia,cardiovascular,propanol,-0.015371093020478363
arrhythmia,cardiovascular,propionaldehyde,0.04483611192603326
arrhythmia,cardiovascular,pyrrole,-0.007303442714802512
arrhythmia,cardiovascular,styrene,-0.003563504842969559
arrhythmia,cardiovascular,toluene,-0.002335569691131557
arrhythmia,cardiovascular,trimethylamine,-0.0013971284452868643
arrhythmia,cardiovascular,undecane,0.042936307511087866
arrhythmia,cardiovascular,xylene,0.005153966517019584
asthma,pulmonary,2_butanone,0.05576145995050446
asthma,pulmonary,2_pentanone,0.7394291854496038
asthma,pulmonary,3_methylbutanal,0.05939940500769927
asthma,pulmonary,acetaldehyde,0.0228168089550974
asthma,pulmonary,acetone,0.45678876397528706
asthma,pulmonary,acetonitrile,-0.13455362509997973
asthma,pulmonary,allyl_methyl_sulfide,-0.13894965802416437
asthma,pulmonary,ammonia,0.0737442006815552
asthma,pulmonary,benzaldehyde,0.6666064593005412
asthma,pulmonary,benzene,-0.0780213524825078
asthma,pulmonary,butane,-0.3033910857010589
asthma,pulmonary,carbon_disulfide,0.01559061026401465
asthma,pulmonary,crotonaldehyde,0.12835785580815143
asthma,pulmonary,cyclohexane,0.14897045601749317
asthma,pulmonary,decanal,0.24271900760434037
asthma,pulmonary,dimethyl_amine,0.03366269260093073
asthma,pulmonary,dimethyl_disulfide,0.008218163435961098
asthma,pulmonary,dms,0.008236784468005307
asthma,pulmonary,dmts,0.015593857442523326
asthma,pulmonary,dodecane,-0.32284822140888175
asthma,pulmonary,ethane,1.3410224117142697
asthma,pulmonary,ethanol,0.5074078398433026
asthma,pulmonary,ethyl_acetate,0.660806068332477
asthma,pulmonary,ethylbenzene,0.7156696919409669
asthma,pulmonary,formaldehyde,0.01692949483401174
asthma,pulmonary,furan,0.7135141993118588
asthma,pulmonary,heptanal,0.28005476137967494
asthma,pulmonary,hexanal,4.85650126771712
asthma,pulmonary,hexane,-0.339352608973703
asthma,pulmonary,hydrogen_sulfide,0.001462800885384349
asthma,pulmonary,indole,0.008236784468005624
asthma,pulmonary,isoprene,-0.34691821814184687
asthma,pulmonary,isopropanol,-0.40487631517548606
asthma,pulmonary,limonene,0.006990228284123086
asthma,pulmonary,methanol,0.018182178385937085
asthma,pulmonary,methyl_acetate,-0.13555997724254368
asthma,pulmonary,methyl_mercaptan,0.0014628008853840289
asthma,pulmonary,nonanal,0.8513106075123709
asthma,pulmonary,octanal,0.11564767085895737
asthma,pulmonary,octane,0.8103186514039424
asthma,pulmonary,pentane,4.839427754358179
asthma,pulmonary,phenol,-0.46232747736542035
asthma,pulmonary,propanol,0.6509861383686262
asthma,pulmonary,propionaldehyde,0.1588764869436305
asthma,pulmonary,pyrrole,-0.008349201802958986
asthma,pulmonary,styrene,0.003248656771566374
asthma,pulmonary,toluene,0.004476591923404524
asthma,pulmonary,trimethylamine,0.0016686944663632307
asthma,pulmonary,undecane,0.15033155328911307
asthma,pulmonary,xylene,0.008236784468005307
atopic_dermatitis,inflammatory,2_butanone,0.03881808441729274
atopic_dermatitis,inflammatory,2_pentanone,-0.1482134831642181
atopic_dermatitis,inflammatory,3_methylbutanal,0.3016592141775755
atopic_dermatitis,inflammatory,acetaldehyde,0.007379737570423142
atopic_dermatitis,inflammatory,acetone,0.0857769171159053
atopic_dermatitis,inflammatory,acetonitrile,-0.16347466462865382
atopic_dermatitis,inflammatory,allyl_methyl_sulfide,-0.16727054877775338
atopic_dermatitis,inflammatory,ammonia,0.10467405378258367
atopic_dermatitis,inflammatory,benzaldehyde,-0.002631790146969322
