gene,role,n_total,n_mutated,n_wildtype,logrank_p,cox_HR,cox_HR_lower95,cox_HR_upper95,cox_p
KRAS,driver_candidate,168,100,68,0.010910738525981512,1.9548933280909684,1.1608463703845056,3.2920875851545772,0.01170709119303848
TP53,driver_candidate,168,91,77,0.01078296865038429,1.9513474503261206,1.1921886484795685,3.1939214290879137,0.007832192670730133
SMAD4,driver_candidate,168,34,134,0.8736343480615072,1.0658179094605336,0.616987530987259,1.8411519829406087,0.8192238462078972
CDKN2A,driver_candidate,168,26,142,0.024722808514248504,1.616575164091223,0.8586790650050077,3.0434132700572167,0.13676040094388242
TTN,size_control,168,28,140,0.7330857045898803,0.9910550103019125,0.5451261832404606,1.8017663866482634,0.9764964614169939
