exhalepath_state,n_cells,fraction
adipocyte_lipolytic,162648,0.003792996351915847
gut_fermentative_microbe,24859,0.000579718756531135
hepatocyte_ketogenic,151682,0.003537266198485684
hepatocyte_sulfur,16212,0.0003780683245859753
microglia_activated,4870190,0.11357417799872756
neuron_stressed,11417803,0.26626632436853703
oxidative_stress_cell,26236437,0.6118409683996726
tumor_epithelial_warburg,1307,3.047960154415678e-05
