gene,role,n_total,n_mutated,n_wildtype,logrank_p,cox_HR,cox_HR_lower95,cox_HR_upper95,cox_p
PIK3CA,driver_candidate,1035,311,724,0.8140048038778027,0.8627347478064807,0.553218229919314,1.3454206763599754,0.5148869550122102
TP53,driver_candidate,1035,317,718,0.404421365290339,1.4445261140571826,0.9547731419051275,2.1854989448378177,0.0817027377345519
CDH1,driver_candidate,1035,119,916,0.7138548453081921,0.7346421294417425,0.3909158106673854,1.3806017654525267,0.33805973248986887
GATA3,driver_candidate,1035,120,915,0.38161460588570606,1.5016629627221658,0.8342733403059822,2.702941044219944,0.17517701408391512
TTN,size_control,1035,198,837,0.19355645071060346,1.125981600719705,0.7095397854472569,1.7868406975376754,0.6145417460972933
