gene,role,n_total,n_mutated,n_wildtype,logrank_p,cox_HR,cox_HR_lower95,cox_HR_upper95,cox_p
TP53,driver_candidate,450,221,229,0.0321638413495495,1.1808644409926288,0.8178365538574566,1.7050360752692346,0.3750679350520013
TTN,size_control,450,224,226,0.647857738084195,0.8683922902866055,0.6017923389954025,1.2530986537450377,0.45075324914184156
